date,,odometer,miles,cum miles,stop name,stop desc,,,wp id,cat,spot,day name,day desc,,lat,lon,day start,day end,day num
2018-09-21,Fri,"97,515",145,4094,kc,,,,894,171,415,Very pretty drive along the river to Kansas City,"Gutbuster breakfast in the local diner, pleasant drive to crappy hotel. Back out to enjoy art.",,,,,,38
2018-09-22,Sat,"97,609",94,4188,van meter,,,,896,171,416,"Museum again, bbq, long suburbs, end up in great park.","Coffee at the museum cafe, a little more art, serious bbq meal at Gates, pretty drive down the river to Van Meter State Park.",,,,,,39
2018-09-23,Sun,"97,740",131,4319,lake oz,,,,896,171,417,"Hang out till two, then familiar feeling Missouri roads.",Central Missouri farmland to the vacation retirement wonderland of Lake of the Ozarks.,,,,,,40
2018-09-24,Mon,"97,896",156,4475,round sp,,,,896,171,418,"I’d forgotten, but Missouri roads are dangerous and exhausting.","Real nice coffeehouse, then those narrow, curvy, no-shoulder roads through the endless oak forest that wind on forever.",,,,,,41
2018-09-25,Tue,"98,053",157,4632,Lamberts,,,,898,80,419,"Half the day was oaky woods like yesterday, then it got flat.",Alluva sudden I’m in cotton fields!,,,,,,42
2018-09-26,Wed,"98,129",76,4708,Reelfoot,,,,898,80,420,Take a ferry across the fast-moving Mississippi River!,"Three state day, counting about eight minutes of Kentucky",,,,,,43
2018-09-27,Thu,"98,284",155,4863,Pickwick,,,,900,80,421,West central Tennessee is pretty boring.,Two knuckleheads in 10 minutes in the little town of XX. Glad I got out of there.,,,,,,44
2018-09-28,Fri,"98,432",148,5011,Doug and Terry’s condo,,,,900,80,,"Pickwick Dam, Natchez Trace, Tupelo",Natchez Trace is very restful. Big Game Eve in Starkville.,,33.4822872,-88.8111975,,,45
2018-09-29,Sat,"98,432",0,5011,Doug and Terry’s condo,,,,900,80,,just hangin around the house today,Only left the house to get stuff out of the van.,,33.4822872,-88.8111975,,,46
2018-09-30,Sun,"98,432",0,5011,Doug and Terry’s condo,,,,900,80,,Doug drives us to watch the Niners,Fine dining at the Buffalo Wild Wings. The Niners suck.,,33.4822872,-88.8111975,,,47
2018-10-01,Mon,"98,569",137,5148,Brierfield,,,,900,80,422,Starkville to Tuscaloosa to the sticks,Taking the big roads for a few days till I get to Florida. They suck. ,,,,,,48
2018-10-02,Tue,"98,754",185,5333,Eufalia,,,,902,86,423,Cross Alabama today.,"Alabama didn’t work for me today. Couldn’t find food, the people seemed weird.",,,,,,49
2018-10-03,Wed,"98,937",183,5516,Suwannee,,,,902,86,424,Make a diagonal across Georgia to Florida.,"Drive took much longer than I thought, got to Suwannee after dark.",,,,,,50
2018-10-04,Thu,"99,162",225,5741,mease,,,,902,86,,Four hours of hateful freeway driving.,"Florida drivers haven’t gotten any better. My first near death experience of the trip, I-75 South.",,28.0157052,-82.7812555,,,51
2018-10-05,Fri,"99,307",145,5886,manatee,,,,902,86,425,Much more interesting and pleasant drive getting away.,"Coast highway past Tarpon Springs, then suburban sprawl for too long, then nice highway through the piney woods and cypress swamps.",,,,,,52
2018-10-06,Sat,"99,442",135,6021,st marks,,,,902,86,44,"Nice, easy drive through the north Florida wilderness.","Caffienate at the Dunkin Donuts in Chiefland, get sandwiches at a Subway down the road. Food choices are bleak down here.",,,,,,53
2018-10-07,Sun,"99,558",116,6137,torreya,,,,905,86,427,Swim in the Gulf!,"Breakfast next door, then putter around the Gulf for the afternoon.",,,,,,54
2018-10-08,Mon,"99,772",214,6351,white water,,,,905,80,428,"Weird day. Didn’t feel good, storm’s coming..","Tallahassee bracing for storm, long drive to get to a nice place, a little hung over does’t help",,,,,,55
2018-10-09,Tue,"99,945",173,6524,strom,,,,907,80,429,"Much nicer day, easier drive.","Good coffee shop, good lunch. I like Perry GA.",,,,,,56
2018-10-10,Wed,"100,126",181,6705,Lloyd and Cathy’s house,,,,907,81,,Pretty drive across South Carolina,Coffee in North Augusta. Pleasant drive after I got off the interstate. Charlotte rush hour.,,35.1644578,-80.8405514,,,57
2018-10-11,Thu,"100,126",0,6705,Lloyd and Cathy’s house,,,,907,81,,"Hang around the house, then tour Charlotte.",Tail end of Hurricane Michael was pretty rough turns out. Interesting drive.,,35.1644578,-80.8405514,,,58
2018-10-12,Fri,"100,126",0,6705,Lloyd and Cathy’s house,,,,907,81,,Hang around the house all day,Only left the house to sit in the deck and get stuff out of the van.,,35.1644578,-80.8405514,,,59
2018-10-13,Sat,"100,271",145,6850,Mike and Carol’s new house,,,,907,81,,Three hours of freeway from one house to another.,I always stop at McD’s or DQ for my “need a bite” pit stops.,,35.9489543,-79.073128,,,60
2018-10-14,Sun,"100,271",0,6850,Mike and Carol’s new house,,,,907,81,,"Wifi at the clubhouse, dinner with Sarah","Hang out at their new clubhouse, cleaning out the opened wine bottles. Great time with Sarah’s kids.",,35.9489543,-79.073128,,,61
2018-10-15,Mon,"100,282",11,6861,Mike and Carol’s new house,,,,907,81,,"move stuff, dinner with the pre-geezers","Their old friends are very nice people, who all seem to have nice house on a lake or stream or something comfortable.",,35.9489543,-79.073128,,,62
2018-10-16,Tue,"100,451",169,7030,millpond,,,,907,81,430,"Pretty drive, but at 45 mph most of the way.","Longer and slower drive than I thought. Cotton farming in NE NC, and that swampy bayou-like terrain.",,,,,,63
2018-10-17,Wed,"100,554",103,7133,kiktopeke,,,,908,88,431,Dismal Swamp then suddenly urban America,Intracoastal Waterway is awesome. The coast at the mouth of the Chesapeake is developed like Florida.,,,,,,64
2018-10-18,Thu,"100,554",0,7133,Peggy’s Rehoboth Condo,,,,908,88,,The Eastern Shore is a unique place,"Easy drive up the peninsula. Peggy’s place is great. Oysters, clams and crabcakes for dinner!",,38.7174091,-75.0926088,,,65
2018-10-19,Fri,"100,554",0,7133,Peggy’s Rehoboth Condo,,,,908,88,,Walk the boardwalk and the picture perfect  village,Eat out again at fancy downtown place.,,38.7174091,-75.0926088,,,66
2018-10-20,Sat,"100,554",0,7133,Peggy’s Rehoboth Condo,,,,908,88,,See King Lear in Lewes.,Culture Day and a nice meal with Peggy’s beach posse,,38.7174091,-75.0926088,,,67
2018-10-21,Sun,"100,697",143,7276,Peggy’s House in Silver Springs,,,,911,88,,Interesting drive across Bay Bridge to DC,"Awesome seafood buffet, then pretty but tiring drive into the setting sun.",,39.0045819,-77.0278825,,,68
2018-10-22,Mon,"100,697",0,7276,Peggy’s House in Silver Springs,,,,911,88,,"Home till 4:40, walk to downtown Silver Springs.",Colesville Road and Georgia Avenue sure are a lot more built-up than they were 30 years ago (duh!).,,39.0045819,-77.0278825,,,69
2018-10-23,Tue,"100,697",0,7276,Peggy’s House in Silver Springs,,,,911,88,,Drive an electric car for the first time.,Getting to Bethesda in the morning rush hour. Dinner with the neighbors.,,39.0045819,-77.0278825,,,70
2018-10-24,Wed,"100,697",0,7276,Peggy’s House in Silver Springs,,,,911,88,,Hang out all day again.,A bit of a sunset walk around the neighborhood,,39.0045819,-77.0278825,,,71
2018-10-25,Thu,"100,697",0,7276,Peggy’s House in Silver Springs,,,,911,88,,African American Museum,"Drive to the office, walk to the Museum, excellent Greek Happy Hour",,39.0045819,-77.0278825,,,72
2018-10-26,Fri,"100,697",0,7276,Peggy’s House in Silver Springs,,,,911,88,,Smithsonian Day,"Walked a long, long, long time.",,39.0045819,-77.0278825,,,73
2018-10-27,Sat,"100,697",0,7276,Peggy’s House in Silver Springs,,,,911,88,,Wonderful. restorative day. Laundry!,"Rainy day, perfect for getting everything tidied up for the final leg of the trip.",,39.0045819,-77.0278825,,,74
2018-10-28,Sun,"100,820",123,7399,fort,,,,911,88,432,"Glad it’s Sunday, DC traffic is beastly.","Hit the road around 1 pm. Even on Sunday, DC freeways are tough. Crazy sports bar, then peace and calm at the campground.",,,,,,75
2018-10-29,Mon,"100,903",83,7482,eliz,,,,913,88,433,"Antietam and Harper’s Ferry, too much for one day.","Lingered over lunch, lingered at Antietam, the day was too short.",,,,,,76
2018-10-30,Tue,"101,019",116,7598,big meadow,,,,913,88,434,Easy driving day finally. Virginia Mountains are beautiful. ,"Fort Valley was picture perfect today. Lunch in Luray, then Skyline Drive.",,,,,,77
2018-10-31,Wed,"101,078",59,7657,north creek,,,,913,88,19,Skyline Drive was beautiful. I-81 was nightmarish.,"Skyline Drive, Great lunch in Waynesboro. Then a rough hour jockeying with the big rigs on I-81.",,,,,,78
2018-11-01,Thu,"101,208",130,7787,stony fork,,,,915,88,435,"Roanoke, then Blue Ridge Parkway is even more beautiful.",I liked Roanoke. It has a cool downtown. Fall colors are near peak on the Blue Ridge Parkway. ,,,,,,79
2018-11-02,Fri,"101,371",163,7950,watauga,,,,915,80,436,"Didn’t quite make it back onto the Blue Ridge Parkway, but it was very pretty anyway.","Hard rain and  tiring country road, but the farmhouses and fields and fall trees were quite beautiful",,,,,,80
2018-11-03,Sat,"101,520",149,8099,cumberland,,,,915,80,437,I am running out of daylight every day.,"Enjoyed Johnson City, ran out of daylight again.",,,,,,81
2018-11-04,Sun,"101,666",146,8245,bandy,,,,915,80,438,Lost in Whitley County Kentucky,"Great lunch in Cumberland Gap, nice drive, then Maps suggested a shortcut, I lost phone reception, and suddenly I was screwed.",,,,,,82
2018-11-05,Mon,"101,800",134,8379,lewis,,,,917,80,439,"Had it with the hills, interstate today for me.","Not interesting freeway driving today, until the Natchez Trace at the very end.",,,,,,83
2018-11-06,Tue,"102,051",251,8630,Pickwick,,,,917,80,421,Natchez Trace and Shiloh,"The Natchez Trace is the Relaxation Pose of driving, a serene experience. Shiloh is sobering every time.",,,,,,84
2018-11-07,Wed,"102,311",260,8890,chewalla,,,,917,80,440,"Corinth, then go the wrong direction, annoy myself",Corinth seemed like a nice town. I seem to have lost my sense of direction.,,,,,,85
2018-11-08,Thu,"102,441",130,9020,delta heritage,,,,917,80,441,"Oxford to the Delta, cross the mighty Mississippi.",Really enjoyed Oxford. The Mississippi is very big and wide. Eastern Arksansas isn’t very attractive.,,,,,,86
2018-11-09,Fri,"102,605",164,9184,arlington,,,,920,80,442,Cypress swamps and cotton fields to the Ouachita Mountains.,"The delta is a services desert. The hills are a little better, but not much.",,,,,,87
2018-11-10,Sat,"102,610",5,9189,arlington,,,,920,80,442,Treating myself to a $100 chill day.,Hotel breakfast buffet. Drive around town a bit. Out on the town a bit.,,,,,,88
2018-11-11,Sun,"102,743",133,9322,ft smith,,,,920,80,443,Glad I came here.,"A lot of activity getting out town, then a pretty easy drive t a great spot in Ft Smith.",,,,,,89
2018-11-12,Mon,"102,884",141,9463,wagoner,,,,922,172,444,Brutally cold today. Nice day to be in the warm van driving!,Windy and wet and cold. I decide to motel it tonight.,,,,,,90
2018-11-13,Tue,"103,122",238,9701,cherokee,,,,922,172,445,"Very cold again, highest temp was 34°","Probably shoulda camped tonight, but moteled it again.",,,,,,91
2018-11-14,Wed,"103,263",141,9842,doby spr,,,,922,172,446,Lovely afternoon puttering around Salt Plains,Did a complete loop around Salt Plains then headed west on the prairie.,,,,,,92
2018-11-15,Thu,"103,458",195,10037,felt ok,,,,922,172,449,"Drove due west all day, getting across the prairie.","98 miles to morning coffee, the rest of the day was pretty easy after than.",,,,,,93
2018-11-16,Fri,"103,590",132,10169,maxwell,,,,924,173,339,Entered the mountain Time Zone.,"Entered New Mexico, saw the Rockies on the horizon, I’m back in the west!",,,,,,94
2018-11-17,Sat,"103,762",172,10341,alamosa,,,,924,,450,I finally drive the Raton Pass.,"Gusty and gloomy in the I-25 corridor, clear and mild in the San Luis Valley.",,,,,,95
2018-11-18,Sun,"103,935",173,10514,Santa Fe Mercedes,,,,924,173,,An interesting drive really. New Mexico is very scenic.,"New plan, heading due south till I get to a Sprinter repair place.",,35.633194,-106.022514,,,96
2018-11-19,Mon,"103,938",3,10517,Hal Burns Truck Repair,,,,924,173,,Pretty much a clustertf-ck of a day.,Hang out in a shopping center all day whole they don’t fix my van.,,35.600352,-106.052453,,,97
2018-11-20,Tue,"104,068",130,10647,escondida,,,,924,,451,Wake up at the truck repair place.,"I escape Hal Burns $1,300 poorer with my started not fixed. But I am on the road again!",,,,,,98
2018-11-21,Wed,"104,358",290,10937,globe,,,,927,,452,western New Mexico and the Salt River Canyon,"Beautiful, interesting, but way too long drive. Very Large Array, Show Low, the Canyon",,,,,,99
2018-11-22,Thu,"104,587",229,11166,burro creek,,,,927,,453,Thanksgiving Day in the suburbs of Phoenix,"Today started pretty crappy, ended really nice!",,,,,,100
2018-11-23,Fri,"104,748",161,11327,las vegas bay,,,,927,,202,Coffee and lunch on old Route 66 in Kingman,"Pretty easy drive, to Kingman, cross the Colorado then to Lake Mead.",,,,,,101
2018-11-24,Sat,"104,848",100,11427,tecopa,,,,929,,118,The suburbs of Las Vegas are huge.,Las Vegas sucks your soul just driving across it.,,,,,,102
2018-11-25,Sun,"104,995",147,11574,panamint,,,,929,,197,Enter Death Valley at the southeast corner.,"Spent a tourist day in Death Valley, got out at Badwater, The Artist’s Point drive is cool.",,,,,,103
2018-11-26,Mon,"105,199",204,11778,kern river,,,,929,,454,"Take a route I have never, ever taken.",Panamint to Lone Pine is a really pretty drive. 174 across the mountains is not as pretty as I thought it would be.,,,,,,104
2018-11-27,Tue,"105,449",250,12028,dos reis,,,,929,,455,"Oddly, it was kind of fun to drive 99, but very long.","Weird Christian coffee shop in Bakersfield, then a whole lot of Route 99.",,,,,,105
2018-11-28,Wed,"105,555",106,12134,g’s,,,,929,,182,"Yesterday was the tough day, today was pretty easy.","Starbucks, quaint and narrow Route 4, Bridgehead Cafe, Les Schwab, San Anselmo Library, Gannon’s",,,,,,106
2018-11-29,Thu,"105,556",1,12135,g’s,,,,929,,182,waiting for more expensive car news,Enjoyed the comfortable basement and a channel changer all day.,,,,,,107
2018-11-30,Fri,"105,558",2,12137,m’s,,,,931,,374,Hike up the hill in San Rafael,"Great walk, lunch at the Peruvian restaurant, pick up the van, drive to Petaluma",,,,,,108
2018-12-01,Sat,"105,582",24,12161,m’s,,,,931,,374,Hang out with the fam,read and play with the toddlers,,,,,,109
2018-12-02,Sun,"105,582",0,12161,m’s,,,,931,,374,Seventh grade CYO basketball,read and play with the toddlers,,,,,,110
2018-12-03,Mon,"105,582",0,12161,m’s,,,,931,,374,Hang out all day again.,"Activity swirling around me all day, but I just stay here.",,,,,,111
2018-12-04,Tue,"105,582",0,12161,m’s,,,,931,,374,Hang out all day again.,"Katie visits, they go to a show tonight.",,,,,,112
2018-12-05,Wed,"105,582",0,12161,m’s,,,,931,,374,Breakfast with M and C.,read and play with the toddlers,,,,,,113
2018-12-06,Thu,"105,648",66,12227,solano,,,,931,,456,"Leave, late breakfast in Vacaville",Easy pleasant drive on roads that will be awful four hous from now.,,,,,,114
2018-12-07,Fri,"105,750",102,12329,colusa,,,,931,,260,"Winters, Granzella’s, Colusa Casino","Spend the afternoon at the Wildlife Refuge, sonderful.",,,,,,115
2018-12-08,Sat,"105,903",153,12482,Reno!,,,,931,,143,Easy drive home on 20 and I-80,"Take the scenic route from Colusa to Yuba City, very pretty drive.",,,,,,116
